文本,地点-同城/异地,地点-室内/室外,设备,使用时长,目的,充电对象,场景,充电宝类型,匹配场景,场景分类,场景大类,大类,文本_标注_语义极性,文本_标注_评论主体
青海大学你能不能不熄灯啊 看给劳资调成啥了 充电宝加台灯 英语期末简单点 求求了    西宁青海大学,同城(推测),室内,多设备,短(推测),办公,台灯,宿舍备考,普通,宿舍,校园与学习,工作与学习,高效办公,中,用户
从小米充电宝一代10400开始，就一直用小米，非常不错，每次出差旅行必备。,异地(推测),室内,单设备,长,休闲(推测),手机,出差旅行,普通,出差,工作日常,工作与学习,高效办公,负,用户
早上一睁眼930了 打车上班准时卡点打卡 来不及空腹爬坡 然后断片儿找不到充电宝 忘拿耳机 迷迷糊糊开启新年第一天工作&% 2025不当小迷糊了  上海得物公司,同城(推测),室内,单设备,短,办公,手机,公司办公,普通,办公室,工作日常,工作与学习,轻悦生活,负,用户
在图书馆自习，要给手机和充电宝充电，就接了个小插排放桌上，一个女的指着插排问我你还充么？想让我把充电器拔下来匀一个插排上的充电口给她。给我问懵了，我你座位旁有充电口呀！她一脸坦然太远了（线短）。最后我把充电宝拔了，放别的地方充电了。 我啥时候能有这种麻烦别人也不觉得是事儿的 ... 全文,同城(推测),室内,多设备,短(推测),办公,手机、充电宝,图书馆自习,普通,自习,校园与学习,工作与学习,高效办公,中,用户
一会洗完澡吃个个燕麦然后拿着书和充电宝去湖边坐着晒太阳复习,异地(推测),室外,单设备,长(推测),休闲(推测),手机(推测),湖边晒太阳,普通,自然风光观赏,户外运动与观光,运动与文旅,远行探索,负,用户
过了个安检 充电宝被收走了 说是外包装的毫安标识模糊看不清 上个月才买的充电宝   昆明昆明长水国际机场,异地,室内,单设备,短,休闲,手机,机场安检,普通,飞机,提及交通工具出行,交通出行,轻悦生活,负,用户
从拉萨回北京等待起飞时， 很认真的分析了如果飞机坠在雪山上，我又以万分之一的概率从坠机中存活下来，该如何收集物资等待救援 首先随身双肩包里相机镜头肯定不要了，但是存储卡可以取下来留着，充电宝和手机必须带着，另外还要尽可能从货箱里找到我的箱子，把箱子里的保暖衣物、药品、暖宝宝还有牛 ... 全文,异地(推测),室内(推测),单设备,短,休闲,手机,机场候机,普通,飞机,提及交通工具出行,交通出行,轻悦生活,负,用户
带上充电宝，戴上耳机，整个世界都是我的了，等我们六月高考后天天这样干,异地(推测),室内,单设备,长(推测),休闲,手机,休闲消遣,普通,泛旅游,旅行与住宿,运动与文旅,远行探索,中,用户
打工人有自己的牛马外套，500ml水杯&%充电宝&%货品（带冰袋）&%卫生纸耳机等小东西，都塞兜里不用过安检。,同城(推测),室内(推测),单设备,短,办公,手机,通勤(推测),普通,泛通勤,泛出行,交通出行,轻悦生活,中,充电宝
我没有想到有一天选充电宝颜色的时候，我会和办公室的另一个实习生换颜色选粉色。,同城,室内,单设备,短,办公,手机,办公室,普通,办公室,工作日常,工作与学习,轻悦生活,正,充电宝
来图书馆  来了就困了 先睡了一觉 题没背完 充电宝已用没电了,同城(推测),室内,单设备,长(推测),办公,手机,图书馆学习,普通,图书馆/书店,校园与学习,工作与学习,高效办公,负,用户
充电宝我要把你留在图书馆了 明天见,同城(推测),室内,单设备,长(推测),办公(推测),手机,图书馆,普通,图书馆/书店,校园与学习,工作与学习,高效办公,中,用户
充电宝，手电筒，净水，塑料袋，饼干，我在临沂，都准备了好几年了，始终有水和饼干在床边,同城(推测),室内,单设备,短,休闲,手机,家中床边,普通,泛家中,居家与手作,生活与居家,轻悦生活,正,用户
充电线忘在公司 我就只能拿我妈的线给充电宝充电 充电宝&%手表 充电宝&%手机 充电宝&%平板 谢谢充电宝,同城(推测),室内(推测),多设备,短,休闲,手表、手机、平板电脑,居家(推测),普通,泛家中,居家与手作,生活与居家,轻悦生活,正,用户
没错 我坐飞机又是一番波折 之前坐飞机都是我姐带着我还有一次好像是没有托运 总之已经过去很多年了 我完全忘记不能带矿泉水这件事 在我印象里违禁品就是打火机，大功率充电宝这些 然后花费十块钱买的kitty矿泉水就被收了 去机场的时间也不够了 虽然线上值机了但是还是特别赶 没有时间托运行李还被安检 ... 全文,异地(推测),室内,单设备,短,休闲(推测),手机,机场候机,普通,飞机,提及交通工具出行,交通出行,轻悦生活,负,用户
勒是雾都。。。 - 早上去walking tour把佩斯主要景点转了一圈（是的布达佩斯就是由布达和佩斯组成 - 去吃麻辣烫喝奶茶 听东北老板吐槽匈牙利 她儿子东北话更是地道。。一张嘴我以为我到沈阳了 - 晚上在Westend买了匡威+充电宝 - 在夜晚的多瑙河边看国会大厦和鞋履雕塑听爱情多恼河 - 在好多国家都见到 ... 全文,异地(推测),室外,单设备,长,休闲,手机,多瑙河边观景,普通,自然风光观赏,户外运动与观光,运动与文旅,远行探索,正,用户
大晚上附近电路全炸突然停电 好死不死手机11的电量充电宝也没电 灵机一动用ipad给手机反向充电 升级type c充电线的人是天才&%！,同城(推测),室内(推测),单设备,短(推测),休闲,手机,家中停电(推测),普通,家庭应急,居家与手作,生活与居家,轻悦生活,正,用户
新年第一次来到健身房 有氧 播客 独处依旧是我永远的充电宝也是我想一直扎根的自我支点 希望2025可以更好地保护好自己的边界 更好地处理独处与社交之间的平衡 自我与他人在生活中的占比关系,同城,室内,单设备,短,休闲,手机,健身房,普通,健身,常规运动健身,运动与文旅,轻悦生活,负,用户
#随手拍# 谁懂这一刻的含金量 最后一排 电脑能充电 周围全是女生 空调开的刚刚好 有水有纸有零食 耳机和充电宝满电,同城,室内(推测),多设备,长,休闲,电脑、耳机,演唱会/活动现场,普通,演唱会/演出,展演,社交与娱乐,轻悦生活,正,用户
昨天晚上做梦梦到我去沙漠旅游然后把手机充电器落那了，因为最近手机都是在公司充好电回家，两个充电宝在公司充好电轮流使用，很久没有在家里充过电了，难道，是我的充电器给我托梦了？,同城(推测),室内,单设备,短,办公(推测),手机,公司办公,普通,办公室,工作日常,工作与学习,轻悦生活,负,用户
5公里 ，还是做好必要准备 ，帐篷 ，防寒装备，应急灯，充电宝 水 ，零食 ，希望一切安好,同城(推测),室外(推测),单设备,长(推测),休闲(推测),手机,户外露营(推测),普通,露营/野营,户外运动与观光,运动与文旅,轻悦生活,中,充电宝
带上手机充电宝，物料，充气沙发或者野餐垫，其他不用带，里面有吃有喝的,异地(推测),室外,单设备,长(推测),休闲,手机,野餐(推测),普通,自然风光观赏,户外运动与观光,运动与文旅,远行探索,中,用户
来苹果刷机打算把平板解开 店员说我用自己的充电宝手机会爆炸 又被洗脑买了一个500的充电宝 坐飞机去上海买的400块钱的廉航机票 空姐在飞机上推销被洗脑买了将近2000的护肤品 我这个人真的抵制不了一点推销,异地,室内,单设备,长,休闲,手机,手机店,普通,逛街,餐饮与逛街,社交与娱乐,轻悦生活,负,充电宝
我的ipad好耗电啊 期末周一天至少都要两充 用笔记类软件耗电更快 图书馆的插座又少的可怜 我一万毫安的满格充电宝 连一半电量都重不上 该死的苹果万恶的资本家 为什么卖那么贵续航还那么差！！我的手机也是！！还有最近感觉我的mac耗电也严重了！！！我很生气啊&%死苹果你到底在做什么！！！,同城(推测),室内,多设备,长(推测),办公,ipad、手机、mac,图书馆学习,普通,图书馆/书店,校园与学习,工作与学习,高效办公,中,用户
高铁站的充电宝就像得了新冠的牛子一样软弱无力,异地,室内,单设备,长,休闲,手机,高铁站,普通,高铁/火车,提及交通工具出行,交通出行,轻悦生活,正,用户
#国航 美珍香# 想当年坐飞机把移动电源托运了，下了飞机才发现没有的，没有任何告知，而且把我的瑞士水果刀也拿走了，移动电源我认了，小刀拿走是不是就是偷了。。 @国航,异地(推测),室内,多设备,短,休闲,移动电源,飞机托运,普通,飞机,提及交通工具出行,交通出行,轻悦生活,中,用户
拿出来我直接笑不行 占地方且没办法充我手机的充电宝 双子说必须要戴帽子还要歪着戴才可爱 sb培训学习一开就是三个小时 直接溜到烤肉店了听不了一点 双子用充电线连到他手机上给我的手机充电 太神奇了 吃到晕碳的老爷锅 吃完想睡觉 才艺大赛之我爱弹吉他以及我爱弹钢琴 今天睡在我同门宿舍了 开心,同城(推测),室内,单设备,长(推测),办公,手机,烤肉店用餐,普通,就餐,餐饮与逛街,社交与娱乐,轻悦生活,正,用户
购物情绪价值拉满，结完账随口说了一句喜欢吃山楂卷，售货员阿姨把桌上满满一盘山楂卷和小饼干都给我倒进口袋，还送了一个可以带上飞机的充电宝,同城,室内(推测),单设备,长,休闲,手机,商场购物,普通,逛街,餐饮与逛街,社交与娱乐,轻悦生活,正,用户
啊啊啊昨天在川航上也遗失了一个充电宝！！！下飞机后联系帮忙拿下来，非说没有！！气死我了！！非常确信就在座位前的兜兜里,异地(推测),室内,单设备,短,休闲,手机,飞机,普通,飞机,提及交通工具出行,交通出行,轻悦生活,正,用户
还没收行李 我要带的东西 一次性内裤（那里有） 化妆包+面膜、面霜 去A4要化妆 电脑 ipad 充电器 排插 羽绒服带件在身上（足矣）这个是5号可以穿去a4？！ 摇粒绒一件 明天穿什么？冲锋衣+摇粒绒 耳机（ipad+手机+头戴全都整上） 充电器 充电宝 基础身份证那些东西 带纸 还是要一个双肩包 对,异地(推测),室内,多设备,短,休闲,ipad、手机、头戴耳机(推测),出行,普通,泛出行,泛出行,交通出行,轻悦生活,负,充电宝
带个120w快充的移动电源不让上动车， 早知道不带出门了还浪费11块寄件   南昌南昌西站,异地(推测),室内,单设备,长,休闲,手机,动车站,普通,高铁/火车,提及交通工具出行,交通出行,轻悦生活,中,用户
仙本那机场离谱事儿 整个仙本那没有红绿灯 也没有交警巡警 开车全靠手势让行 机场安检都不如国内的地铁安检严格  虽然设置了两道安检 但是发现可以直接到第二道 也无人在意 7点多的飞机 提前1小时到机场 发现工作人员还没上班 安检自动掏出电脑、手机、充电宝的一定是国人习惯 安检只有2位工作人员  ... 全文,异地(推测),室内,单设备,短,休闲(推测),手机,机场安检,普通,飞机,提及交通工具出行,交通出行,轻悦生活,负,充电宝
因为充电宝摔得太烂被机场安检教育下次不准带了,异地(推测),室内,单设备,短,休闲,手机,机场安检,普通,飞机,提及交通工具出行,交通出行,轻悦生活,负,充电宝
好美的行程，一定要记得带上充电宝和保暖衣服哦！期待冰雪世界的探险！#冰雪探险#,异地(推测),室外(推测),单设备,长,休闲,手机,冰雪探险,普通,野外探险,户外运动与观光,运动与文旅,远行探索,中,用户
hhhhh徒步带充电宝没有带充电线,异地(推测),室外,单设备,长,休闲,手机,徒步,普通,爬山/徒步,户外运动与观光,运动与文旅,远行探索,负,用户
&%2024的最后一天 &%1 乘客多到  地铁无需扫码即可进站乘车 &%2意外捡来的充电宝 &%3 车检顺利通过 但是好吃的菠萝飞饼  打翻在商场入口 2025的第一天,同城(推测),室内(推测),单设备,长,休闲(推测),手机,逛商场(推测),普通,逛街,餐饮与逛街,社交与娱乐,轻悦生活,负,用户
文浩坐飞机带了kindle ipad steam deck 我问他 你到底要在飞机上干多少事 他还邀请我一起看间谍过家家 忙不死他 而我 只带了手机 充电宝 和u型枕,异地(推测),室内,单设备,长(推测),休闲,手机(推测),飞机出行,普通,飞机,提及交通工具出行,交通出行,轻悦生活,中,用户
第100条微博，新年快乐[2025] 飞机落地发现充电宝鼓起来了&%  海口万绿园,异地(推测),室外,单设备,短,休闲,手机,海口万绿园,普通,景点名,旅行与住宿,运动与文旅,远行探索,负,充电宝
有一个小插曲，今天有一个很久没见过的朋友传送过来，看到我和充电宝在拍照玩，说了一句新年快乐和好久不见就默默站着，充电宝直接说我手边突然多了一个大卤蛋笑得我。,同城(推测),室内(推测),单设备,长,休闲,手机,拍照,普通,摄影/外拍,艺术创作,生活与居家,轻悦生活,负,用户
骑着车，路上被一个小黑的偷了充电宝，我大喊大叫，同伴们赶紧呵斥并追了上去，我骑车撞向他，由于对面人多，我们败下阵来，后来被引诱进入一个深墙大院中，他们在地上浇着汽油，锁了门，我慌了神，赶紧和和两个同伴爬上墙，慢慢移动到大门处，虽然墙很高但是犹豫两秒还是跳了下去，转身一看里面已然一 ... 全文,同城(推测),室外,单设备,长,休闲,手机,骑行路上,普通,骑行,提及交通工具出行,交通出行,轻悦生活,中,用户
前几天，有事外出忘记带充电宝，晚上10多在路边等网约车，司机师傅还有10多分钟才能到，而我的手机电量只剩一丝血皮了 ，我犹豫了一下，还是鼓起勇气去路边的开着的店子借着充会电。 第一家是一个已经清空的便利店，女老板正在打扫卫生，我在门口跟老板娘打了一个招呼，说手机没电了，能不能， ... 全文,同城(推测),室外(推测),单设备,短,休闲,手机,路边等网约车,普通,网约车,提及交通工具出行,交通出行,轻悦生活,正,用户
屁垫落温州了 蛋糕落石家庄正定机场高铁站了 我身份证手机充电宝念叨了八百遍 p人就是只要这仨在 剩下的都能丢,异地(推测),室内,单设备,长,休闲,手机,高铁站出行,普通,高铁/火车,提及交通工具出行,交通出行,轻悦生活,负,充电宝
跨年跨的太猎奇了 早上骑车去吃面 六点发现包（拍立得相机 充电宝 ）落在车筐里了回去找的时候没有了 就报警去找 早上 #冒个泡#  六点到九点 看了四个小时左右监控 本来以为没希望了 最后拿我包的拾荒老人把包送到另一个派出所了 好人有好报 世上还是好人多 真的是有惊无险 起 ... 全文,同城(推测),室外,单设备,短,休闲,手机,骑行吃面,普通,就餐,餐饮与逛街,社交与娱乐,轻悦生活,负,充电宝
#昆明天马行空音乐节# 累了  说实话  在我看来  昆明真的办不好音乐节 很ex  万恶的资本只知道捞钱很影响体验  堵车没看见椅子现场  门口超级远 设置了一公里多栅栏吧  去对面坐大巴也远  结束走了两个小时才坐上大巴 进去1充电宝10块钱一小时  里面分区  路面不平  普区都有好几个栅栏  人多根本不 ... 全文,异地,室外,单设备,短(推测),休闲,手机,音乐节现场,普通,音乐节,展演,社交与娱乐,远行探索,负,用户
新年快乐&%&% P1p2新年最后一天和c酱夫妻吃了烤肉，并且收到了苹果酒&%&%&% P3.4和小wu一起看市民德熙，不是说喜剧的吗？大大脑袋小小问号&% P6新年第一天出门看到富士山&%！ P7 感谢小wu送我一个白女必备 btw，刚送小wu去机场回家，有些戒断反应。告别充电宝不用充电的日子了，掰掰&%,异地(推测),室内、室外(推测),单设备,短(推测),休闲,手机,出游,普通,泛旅游,旅行与住宿,运动与文旅,远行探索,正,充电宝
2025第一天 充电器带成电脑的 充电宝忘了带   韩国首尔仁川国际机场,异地(推测),室内,单设备,短,休闲(推测),手机,仁川国际机场,普通,飞机,提及交通工具出行,交通出行,轻悦生活,正,用户
看个演唱会把充电宝给看丢了，差点手机没电拍解解 #都怪魏俊杰#,异地(推测),室内,单设备,短(推测),休闲,手机,演唱会,普通,演唱会/演出,展演,社交与娱乐,轻悦生活,正,用户
终于对自己不会过日子有了点概念，之前三百多买了个图拉斯无线充电宝又花二百多买了个带磁吸的手机壳。出差觉得无线充电宝充电太慢没用，手机壳又太厚很少带都在家里面落灰,异地(推测),室内,单设备,短(推测),办公,手机,出差,磁吸,出差,工作日常,工作与学习,轻悦生活,正,用户
来医院换保持器 顺便逛个四季青，本来约好一起逛的朋友，手机没电没能碰上面，找了个充电宝，开启了一个人逛街买衣服模式，也很爽啊  杭州四季青服装城,同城(推测),室内,单设备,短(推测),休闲,手机,逛街,普通,逛街,餐饮与逛街,社交与娱乐,轻悦生活,中,充电宝
同事分享的小蛋糕和奶茶&% 学生送的超可爱小星星 上课没收的超大号六万毫安充电宝&% 自个煮的猪肝明天必定炒上,同城,室内(推测),单设备,短,办公(推测),手机,上课,普通,上课,校园与学习,工作与学习,轻悦生活,正,用户
回复@你也会遗憾的对吧不能保证每天单位车里都可以补点，出去旅游背个充电宝,异地(推测),室外(推测),单设备,长(推测),休闲,手机,出去旅游,普通,泛旅游,旅行与住宿,运动与文旅,远行探索,正,用户
此得意忘形小女孩充电宝忘图书馆忘记拿了,同城(推测),室内,单设备,长,办公,手机,图书馆,普通,图书馆/书店,校园与学习,工作与学习,高效办公,正,用户
怎么会有人打算坐高铁还去医院不带身份证啊 服了 怎么会有人带个没电的充电宝啊 服了 怎么会有人出门还不带充电器啊 服了,异地(推测),室外,单设备,长,休闲(推测),手机,坐高铁,普通,高铁/火车,提及交通工具出行,交通出行,远行探索,负,用户
一切都是刚刚好啊 看完演出飞机也延误了 充电宝也坏了 现在我又要开始翻视频了 太值了太好玩了 &%&%&%&%,异地(推测),室内(推测),单设备,短,休闲,手机(推测),机场候机,普通,飞机,提及交通工具出行,交通出行,轻悦生活,负,用户
开年来运势高涨，年底还健身萎靡，开年第一练就状态爆棚。今天一个人来合肥看演唱会，开去高铁站路上意外没堵。演唱会入座在想旁边会不会成群结队，然后旁边也是俩独狼。结尾安可一直在求不要爱情转移十年这种双语混唱的，然后是堪比扣扣音乐的葡萄成熟时 散场到地铁站抢到了最后一个充电宝，充上电 ... 全文,异地(推测),室内,单设备,短(推测),休闲,手机,演唱会散场,普通,演唱会/演出,展演,社交与娱乐,轻悦生活,正,用户
太好笑了！ 滑个雪我俩还吵了一架（被人围观看了笑话，人生第一次在外边跟朋友吵架） 虽然我俩某些观点不太合但好在我俩都在主动磨合 最后要走的时候 在拍照 发现手机时候4%的电量 我赶紧拿充电宝充电 但是手机一直显示充电口有水 充不进电 同时xyg的手机被冻黑屏了 同时我俩也没带现金  还好 ... 全文,异地(推测),室外,单设备,短(推测),休闲,手机,滑雪,普通,滑雪/冰雪运动,户外运动与观光,运动与文旅,远行探索,负,用户
最近赶路文学很火，我朋友有个故事也想说一说 我的朋友是一个很相信缘分的人，有一天缘分好像真的砸到了ta的头上。那是她第一次出国，去参加某国际比赛，在飞机上遇到了AA同学。非常巧合上飞机前ta手机要没电了，但是充电线跟飞机上的USB口不吻合，又不能用充电宝，刚好看到旁边的AA同学有，而且型号匹 ... 全文,异地(推测),室内,单设备,短(推测),休闲,手机,飞机,普通,飞机,提及交通工具出行,交通出行,轻悦生活,负,用户
28个小时没睡觉之后 真的很想去爬山 可是手机没电 充电宝没电 只能作罢 日子真的太苦了 运气很差 差透了 思考了好多好多 也没有答案 唯一好的是 去买炒面 阿姨和阿叔问我 我是不是需要纸的时候 我觉得或许是被关心到了  以及他们还是一如即往给我炒好多面 盖子都盖不上（比我朋友他们代买的多得多了）  ... 全文,异地(推测),室外(推测),单设备,长,休闲,手机,准备爬山,普通,爬山/徒步,户外运动与观光,运动与文旅,远行探索,负,用户
火车上都有充电宝了 是我没见过世面了,异地(推测),室内,单设备,长,休闲,手机,火车,普通,高铁/火车,提及交通工具出行,交通出行,轻悦生活,正,充电宝
每次旅行前后必倒霉。充电宝不见（实则被弟弟拿走） 打巨额滴滴 感冒低烧,异地(推测),室内,单设备,长,休闲,手机,旅行,普通,泛旅游,旅行与住宿,运动与文旅,远行探索,负,充电宝
用了五年的充电宝 因为屁股被我摔没了 被机场扣下了,异地(推测),室内,单设备,短,休闲,手机,机场,普通,飞机,提及交通工具出行,交通出行,轻悦生活,中,充电宝
想想还是很想笑，在黄龙九寨我坐上去九寨沟的大巴半个小时就开始晕车，一直吐到下车，第二天在景区坐景区的车，只要一上车就开始吐，在景区玩儿到哪儿吐到哪儿，所有景点都被我吐了个遍 就这样我帽子里还装着同伴买的泡面，外套兜里装了抽纸、相机延长杆、充电宝、橘子、矿泉水，和随时准备吐的 ... 全文,异地(推测),室外,多设备,短,休闲,相机(推测),景区旅游,普通,景点名,旅行与住宿,运动与文旅,远行探索,中,充电宝
姥爷走以后我特别怕一个人呆着 幸好有家人有朋友有智能手机 幸好有出差让我步履不停的在路上 幸好最近的好天气 幸好快过年了 幸好这两天拉屎很顺利 幸好新买的充电宝很好用 2025请以后一切都好,同城(推测),室内,单设备,长,办公,智能手机(推测),出差路上(推测),普通,出差,工作日常,工作与学习,高效办公,中,用户
怀孕真的会变傻的 恒温壶送的充电线是两头Type-C，我一直想着家里没有适配的头，得重新买个头或者充电宝配着，方便以后外出用，刚刚突然灵光乍现，直接用华为充电线不就行了吗，不用送的那根充电线不就行了&%,同城(推测),室内(推测),多设备,短,休闲,恒温壶(推测),居家备用(推测),普通,泛家中,居家与手作,生活与居家,轻悦生活,中,用户
既然经济不景气，减薪成定局。 现在每天上班重要的事情就是把手机、手表、耳机、充电宝，全部带到单位充电&%。 虽然有些狠,同城(推测),室内,多设备,长(推测),办公,手机、手表、耳机,单位上班,普通,办公室,工作日常,工作与学习,高效办公,负,用户
 我们国家就是很牛 之前搜充电宝的时候见过类似的，国内基本是露营场景用。2度电的电源几千块钱  这两天在CES，看到几个国内公司在北美市场卖推大号移动电源，行李箱那么大个的，就是解决家庭日常临时供电的，不在这个环境就不太能理解这个需求。,同城,室外,单设备,长,休闲,手机,露营,普通,露营/野营,户外运动与观光,运动与文旅,轻悦生活,正,用户
充电宝死在了火车上。 t42我以此纪念你,异地(推测),室内,单设备,长,休闲(推测),手机,火车,普通,高铁/火车,提及交通工具出行,交通出行,轻悦生活,负,用户
  #6000元以下手机补贴最终价格的15%# 手机、移动电源、耳机等用品已经融入我们的生活，然而这些东西一旦使用、存放不当，极易发生自爆导致火情。消防做实验演示，充电宝等用品爆炸的可怕瞬间。大家生活中千万要购买正规合格的产品，妥善存放小心使用。,同城,室内(推测),单设备,短,办公(推测),手机,消防实验,普通,其他,职业工作,工作与学习,轻悦生活,正,充电宝
心血来潮开会给我师傅带个充电宝 结果她充一会拔下来跟我说  你的充电宝它吸走了我手机6%的电&%,同城(推测),室内,单设备,短,办公,手机,开会,普通,会议,工作日常,工作与学习,轻悦生活,中,充电宝
一觉醒来，我妈说停电了，也不知道啥时候能来电，没有一点准备，充电宝也没电，觉睡早了，根本睡不着了,同城(推测),室内(推测),单设备,短,休闲,手机,家中停电,普通,家庭应急,居家与手作,生活与居家,轻悦生活,负,用户
买了一个超牛逼的户外神器，能太阳能充电，能插电充，能手摇充，能当手电筒、充电宝、收音机、蓝牙播放器，还有个能发出警报声的按键，超绝的应急用品,同城,室内,单设备,短,休闲,手机,户外应急,普通,泛出行,泛出行,交通出行,轻悦生活,负,充电宝
#^.^# 蝴蝶结 怎么这么可爱呢 好香期末停电 害我出去买灯... 因为台灯 充电宝 已经进入深度睡眠&%&%我要回家&%&%&%&%&%&%&%&%&%&%&%&%&%&%&%&%&%&%,同城(推测),室内(推测),多设备,短,休闲,台灯(推测),宿舍停电(推测),普通,宿舍,校园与学习,工作与学习,轻悦生活,负,用户
今天在太平园手机没电了 着急使用手机办公开会！在出站口溜达了一圈没看到充电宝，于是向地铁工作人员求助！本来以为事情过于小会被敷衍掉！但是没想到太平园地铁口编号为135342的工作人员非常耐心且迅速的帮我解决了这个问题！      虽然是个小事情，但是非常感谢认真 ... 全文,同城(推测),室内(推测),单设备,短(推测),办公,手机,地铁出站口,普通,地铁,提及交通工具出行,交通出行,轻悦生活,正,用户
本次旅行以丢了眼镜和充电宝告终,异地(推测),室内,单设备,长,休闲,手机,旅行,普通,泛旅游,旅行与住宿,运动与文旅,远行探索,中,充电宝
充电线和充电宝落教室里了,同城(推测),室内,单设备,短,办公,手机,教室,普通,学校,校园与学习,工作与学习,轻悦生活,正,用户
生理性喜欢，是总想贴着对方，总想肢体接触 小吴用我的手机玩游戏，没电了，他要用充电宝充电，我说不行，他都走了，又回来笑着说 咋不行呀，然后在我脑门亲一口。 昨天晚上小吴一直贴着我睡觉，半夜一直搂着我 亲我，早上我拉臭&%又听到他找我喊我名字。在一块快4年，还是想黏糊着。 ... 全文,同城(推测),室内(推测),单设备,短(推测),休闲,手机,日常相处,普通,交友,社交聚会,社交与娱乐,轻悦生活,负,用户
